,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
158,CARVER MILITARY HS,609760.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,17.6,17.3,18.2,17.3,17.6,121,121,121,121,121,54
161,CATALYST - MARIA,400115.0,Charter,Overall,Overall,11th Grade,2015.0,16.7,16.6,17.8,17.5,17.2,141,141,141,141,141,0
174,CHICAGO ACADEMY HS,610340.0,AUSL,Overall,Overall,11th Grade,2015.0,18.4,18.7,19.3,18.5,18.7,126,126,126,126,126,17
190,CHICAGO AGRICULTURE HS,609753.0,Network 10,Overall,Overall,11th Grade,2015.0,19.6,19.0,20.1,21.6,20.1,146,146,146,146,146,74
195,CHICAGO ARTS HS,400022.0,Contract,Overall,Overall,11th Grade,2015.0,19.7,18.1,19.2,19.8,19.2,125,125,125,125,125,35
204,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Overall,Overall,11th Grade,2015.0,18.5,19.4,18.1,19.1,18.8,75,75,75,75,75,1
219,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,17.3,16.5,18.0,17.7,17.4,115,115,115,115,115,35
224,CHICAGO TECH HS,400091.0,Contract,Overall,Overall,11th Grade,2015.0,15.9,16.2,16.6,14.9,15.9,87,87,87,87,87,28
231,CHICAGO VIRTUAL,400036.0,Charter,Overall,Overall,11th Grade,2015.0,21.6,18.1,19.8,20.7,20.0,40,40,40,40,40,28
247,CHICAGO VOCATIONAL HS,609674.0,Network 12,Overall,Overall,11th Grade,2015.0,14.6,15.0,15.6,14.1,14.8,203,203,203,203,203,45
250,CICS - CHICAGOQUEST HS,400113.0,Charter,Overall,Overall,11th Grade,2015.0,,,,,,6,6,6,6,6,8
258,CICS - ELLISON HS,400032.0,Charter,Overall,Overall,11th Grade,2015.0,15.8,15.5,15.7,15.4,15.6,112,112,112,112,112,71
264,CICS - HAWKINS HS,400108.0,Charter,Overall,Overall,11th Grade,2015.0,15.8,16.5,16.9,15.9,16.3,24,24,24,24,24,54
280,CICS - LONGWOOD,400033.0,Charter,Overall,Overall,11th Grade,2015.0,15.1,15.6,15.5,14.9,15.3,94,94,94,94,94,73
293,CICS - NORTHTOWN HS,400034.0,Charter,Overall,Overall,11th Grade,2015.0,19.4,18.8,20.0,20.2,19.6,194,194,194,194,194,13
295,CITYWIDE OSS SCHOOLS,610497.0,,Overall,Overall,11th Grade,2015.0,,,,,,3,3,2,2,2,0
306,CLARK HS,610244.0,Network 3,Overall,Overall,11th Grade,2015.0,15.6,15.8,17.0,15.2,15.9,91,91,91,91,91,25
322,CLEMENTE HS,609759.0,Network 5,Overall,Overall,11th Grade,2015.0,16.2,16.2,16.7,15.0,16.0,176,176,176,176,176,24
329,COLLINS HS,610499.0,AUSL,Overall,Overall,11th Grade,2015.0,15.5,15.5,15.3,13.8,15.1,87,87,86,87,86,29
337,COMMUNITY SERVICES WEST HS,400038.0,Options,Overall,Overall,11th Grade,2015.0,13.5,14.3,12.9,10.5,12.8,13,13,13,13,13,29
353,CORLISS HS,609761.0,Network 13,Overall,Overall,11th Grade,2015.0,13.8,14.7,14.4,12.8,13.9,102,102,102,102,102,50
369,CRANE HS,609702.0,,Overall,Overall,11th Grade,2015.0,,,,,,2,2,2,2,2,28
385,CURIE HS,609756.0,Network 8,Overall,Overall,11th Grade,2015.0,17.3,17.6,17.5,16.9,17.3,677,677,677,677,677,57
396,DEVRY HS,610402.0,Network 4,Overall,Overall,11th Grade,2015.0,20.5,20.2,20.5,21.7,20.7,97,97,97,97,97,5
408,DOUGLASS HS,610245.0,Network 3,Overall,Overall,11th Grade,2015.0,14.7,14.6,14.1,12.6,14.0,70,70,70,70,70,25
424,DUNBAR HS,609676.0,Network 9,Overall,Overall,11th Grade,2015.0,15.1,15.2,15.2,12.9,14.6,200,200,200,200,200,35
442,EPIC HS,400094.0,Charter,Overall,Overall,11th Grade,2015.0,17.5,16.4,18.0,17.8,17.4,98,98,98,98,98,46
458,FARRAGUT HS,609704.0,Network 7,Overall,Overall,11th Grade,2015.0,15.2,16.7,15.8,14.4,15.5,204,205,204,205,204,30
474,FENGER HS,609705.0,Network 13,Overall,Overall,11th Grade,2015.0,14.7,14.8,14.9,13.3,14.4,89,89,89,89,89,49
494,FOREMAN HS,609708.0,Network 3,Overall,Overall,11th Grade,2015.0,15.7,17.2,16.6,15.1,16.1,254,254,254,254,254,15
510,GAGE PARK HS,609709.0,Network 8,Overall,Overall,11th Grade,2015.0,15.5,15.5,15.7,14.3,15.3,106,106,105,106,105,63
512,GOODE HS,610558.0,Network 10,Overall,Overall,11th Grade,2015.0,17.8,18.4,18.7,18.3,18.3,194,194,194,194,194,70
528,HANCOCK HS,609694.0,Network 8,Overall,Overall,11th Grade,2015.0,17.2,16.3,17.4,16.4,16.8,228,228,228,228,228,62
544,HARLAN HS,609710.0,Network 12,Overall,Overall,11th Grade,2015.0,15.1,15.2,15.5,14.2,15.0,144,144,144,144,144,49
560,HARPER HS,609711.0,Network 11,Overall,Overall,11th Grade,2015.0,13.8,15.2,14.0,12.8,14.0,93,93,93,93,93,67
575,HIRSCH HS,609712.0,Network 12,Overall,Overall,11th Grade,2015.0,13.3,14.4,13.6,12.0,13.3,44,44,44,44,44,69
591,HOPE HS,609768.0,Network 11,Overall,Overall,11th Grade,2015.0,14.8,15.2,15.5,14.2,14.9,58,58,58,58,58,68
607,HUBBARD HS,609741.0,Network 10,Overall,Overall,11th Grade,2015.0,17.0,17.1,17.3,16.9,17.1,363,363,363,363,363,65
623,HYDE PARK HS,609713.0,Network 9,Overall,Overall,11th Grade,2015.0,15.6,15.5,15.6,14.8,15.4,205,205,205,205,205,42
632,INFINITY HS,610384.0,Network 7,Overall,Overall,11th Grade,2015.0,17.5,19.9,19.8,18.1,18.8,108,108,108,108,108,30
636,INSTITUTO - HEALTH,400104.0,Charter,Overall,Overall,11th Grade,2015.0,17.9,17.6,18.1,16.8,17.6,182,182,182,182,182,31
640,INSTITUTO - LOZANO HS,400148.0,Options,Overall,Overall,11th Grade,2015.0,14.7,15.2,14.8,12.1,14.2,45,45,45,45,45,31
654,JEFFERSON HS,609783.0,Network 11,Overall,Overall,11th Grade,2015.0,,,,,,1,1,1,1,1,28
655,JEWISH CHILD FAMILY THERAPEUTIC HS,800011.0,,Overall,Overall,11th Grade,2015.0,16.3,14.7,14.6,13.6,14.7,12,12,12,13,12,0
671,JONES HS,609678.0,ISP,Overall,Overall,11th Grade,2015.0,26.7,25.7,25.0,27.4,26.2,265,266,265,266,265,32
687,JUAREZ HS,609764.0,ISP,Overall,Overall,11th Grade,2015.0,16.4,16.7,16.4,15.8,16.3,421,423,421,423,421,31
703,JULIAN HS,609762.0,Network 13,Overall,Overall,11th Grade,2015.0,15.3,15.4,15.5,13.9,15.0,174,174,174,174,174,73
719,KELLY HS,609715.0,Network 8,Overall,Overall,11th Grade,2015.0,16.3,17.9,17.1,16.9,17.0,545,545,545,545,545,58
735,KELVYN PARK HS,609716.0,Network 4,Overall,Overall,11th Grade,2015.0,15.8,15.9,15.6,14.8,15.5,142,142,142,142,142,20
751,KENNEDY HS,609718.0,Network 10,Overall,Overall,11th Grade,2015.0,18.5,18.4,18.2,19.0,18.5,326,326,326,326,326,56
767,KENWOOD HS,609746.0,Network 9,Overall,Overall,11th Grade,2015.0,19.5,18.8,19.8,20.1,19.6,345,346,346,346,345,39
780,KING HS,609751.0,Network 9,Overall,Overall,11th Grade,2015.0,21.1,19.6,20.7,21.8,20.8,189,189,189,189,189,39
796,LAKE VIEW HS,609719.0,Network 2,Overall,Overall,11th Grade,2015.0,18.0,17.8,18.3,17.0,17.8,285,285,282,285,282,6
812,LANE TECH HS,609720.0,Network 4,Overall,Overall,11th Grade,2015.0,25.3,25.0,24.2,26.0,25.1,777,777,777,777,777,5
814,LAWRENCE HALL THERAPEUTIC HS,800012.0,,Overall,Overall,11th Grade,2015.0,6.8,9.6,8.3,5.8,7.6,12,12,12,12,12,0
816,LEGAL PREP HS,400119.0,Charter,Overall,Overall,11th Grade,2015.0,16.3,16.9,17.1,16.1,16.6,94,94,94,94,94,26
832,LINCOLN PARK HS,609738.0,ISP,Overall,Overall,11th Grade,2015.0,22.0,21.9,21.7,22.3,22.0,446,446,446,446,446,7
841,LINDBLOM HS,610391.0,Network 11,Overall,Overall,11th Grade,2015.0,22.6,22.6,22.7,23.8,22.9,202,202,202,202,202,67
845,LITTLE BLACK PEARL HS,400137.0,Options,Overall,Overall,11th Grade,2015.0,16.3,15.1,16.1,13.6,15.3,42,42,42,42,42,39
848,MAGIC JOHNSON - ENGLEWOOD HS,610582.0,Options,Overall,Overall,11th Grade,2015.0,14.7,14.6,15.3,12.6,14.3,23,23,23,23,23,0
850,MAGIC JOHNSON - HUMBOLDT PK HS,610580.0,Options,Overall,Overall,11th Grade,2015.0,13.8,15.2,14.2,11.8,13.8,18,18,18,18,18,0
853,MAGIC JOHNSON - N LAWNDALE HS,610566.0,Options,Overall,Overall,11th Grade,2015.0,13.6,14.2,13.9,11.6,13.3,34,34,34,34,34,29
856,MAGIC JOHNSON - ROSELAND HS,610567.0,Options,Overall,Overall,11th Grade,2015.0,14.7,15.1,13.4,13.7,14.2,19,19,19,19,19,43
872,MANLEY HS,609722.0,Network 5,Overall,Overall,11th Grade,2015.0,14.9,15.4,16.0,14.3,15.2,81,81,81,81,81,27
874,MARINE LEADERSHIP AT AMES HS,609780.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,19.0,19.4,19.5,18.6,19.1,67,67,67,67,67,0
895,MARSHALL HS,609723.0,ISP,Overall,Overall,11th Grade,2015.0,14.7,15.4,16.0,13.9,15.0,97,97,97,97,97,27
911,MATHER HS,609724.0,Network 2,Overall,Overall,11th Grade,2015.0,17.9,18.6,18.4,17.2,18.0,372,372,372,372,372,2
927,MORGAN PARK HS,609725.0,Network 10,Overall,Overall,11th Grade,2015.0,17.7,17.1,17.7,17.3,17.4,297,297,296,297,296,75
936,MULTICULTURAL HS,610385.0,Network 7,Overall,Overall,11th Grade,2015.0,15.3,15.3,17.3,14.9,15.7,59,59,59,59,59,30
942,NOBLE - BULLS HS,400097.0,Charter,Overall,Overall,11th Grade,2015.0,19.6,23.9,22.0,23.3,22.2,213,213,213,213,213,28
949,NOBLE - COMER,400052.0,Charter,Overall,Overall,11th Grade,2015.0,18.6,18.3,18.3,19.0,18.6,165,165,165,165,165,69
951,NOBLE - DRW HS,400118.0,Charter,Overall,Overall,11th Grade,2015.0,17.7,18.8,19.0,19.5,18.8,156,156,156,156,156,29
958,NOBLE - GOLDER HS,400053.0,Charter,Overall,Overall,11th Grade,2015.0,17.4,20.5,19.1,19.1,19.0,149,149,149,149,149,24
960,NOBLE - HANSBERRY HS,400117.0,Charter,Overall,Overall,11th Grade,2015.0,19.3,20.0,20.0,21.3,20.1,169,169,169,169,169,71
964,NOBLE - JOHNSON HS,400106.0,Charter,Overall,Overall,11th Grade,2015.0,18.2,19.1,18.8,20.5,19.2,171,171,171,171,171,68
969,NOBLE - MUCHIN HS,400098.0,Charter,Overall,Overall,11th Grade,2015.0,20.5,22.1,21.4,23.2,21.8,175,175,175,175,175,32
984,NOBLE - NOBLE HS,400051.0,Charter,Overall,Overall,11th Grade,2015.0,19.1,21.8,20.1,22.1,20.8,144,144,144,144,144,24
992,NOBLE - PRITZKER HS,400054.0,Charter,Overall,Overall,11th Grade,2015.0,19.5,21.4,20.4,21.2,20.6,200,200,200,200,200,20
1000,NOBLE - RAUNER HS,400055.0,Charter,Overall,Overall,11th Grade,2015.0,18.4,20.7,19.5,19.6,19.6,142,142,142,142,142,24
1007,NOBLE - ROWE CLARK HS,400056.0,Charter,Overall,Overall,11th Grade,2015.0,17.7,19.0,18.6,19.3,18.7,130,130,130,130,130,23
1013,NOBLE - UIC HS,400057.0,Charter,Overall,Overall,11th Grade,2015.0,21.3,22.6,21.4,23.5,22.2,201,201,201,201,201,28
1029,NORTH LAWNDALE - CHRISTIANA HS,400058.0,Charter,Overall,Overall,11th Grade,2015.0,15.7,17.3,16.8,16.0,16.5,89,89,89,89,89,29
1036,NORTH LAWNDALE - COLLINS HS,400059.0,Charter,Overall,Overall,11th Grade,2015.0,15.1,16.4,15.7,14.0,15.3,83,83,83,83,83,29
1046,NORTH-GRAND HS,609691.0,Network 5,Overall,Overall,11th Grade,2015.0,15.6,16.5,16.7,14.9,15.9,257,257,257,257,257,23
1062,NORTHSIDE PREP HS,609749.0,Network 1,Overall,Overall,11th Grade,2015.0,29.6,28.0,27.7,29.6,28.7,254,254,254,254,254,13
1067,OGDEN HS,610529.0,Network 6,Overall,Overall,11th Grade,2015.0,19.7,18.9,20.1,20.2,19.7,98,98,98,98,98,24
1070,OMBUDSMAN - NORTHWEST HS,610569.0,Options,Overall,Overall,11th Grade,2015.0,17.5,17.0,17.6,16.1,17.0,20,20,20,20,20,66
1072,OMBUDSMAN - SOUTH HS,610570.0,Options,Overall,Overall,11th Grade,2015.0,14.5,15.6,15.2,13.3,14.6,19,19,19,19,19,9
1075,OMBUDSMAN - WEST HS,610571.0,Options,Overall,Overall,11th Grade,2015.0,15.2,15.2,15.6,12.6,14.8,29,30,29,30,29,3
1087,ORR HS,610389.0,AUSL,Overall,Overall,11th Grade,2015.0,13.7,15.2,14.7,12.5,14.0,101,101,101,101,101,23
1092,PATHWAYS - ASHBURN HS,610557.0,Options,Overall,Overall,11th Grade,2015.0,15.7,15.0,14.5,14.0,14.8,88,88,87,88,87,70
1095,PATHWAYS - AVONDALE HS,610568.0,Options,Overall,Overall,11th Grade,2015.0,15.5,15.3,14.9,14.1,14.9,79,79,79,79,79,21
1097,PATHWAYS - BRIGHTON PARK HS,400173.0,Options,Overall,Overall,11th Grade,2015.0,15.8,15.2,14.9,14.4,15.1,82,82,82,82,82,0
1111,PAYTON HS,609680.0,ISP,Overall,Overall,11th Grade,2015.0,30.1,29.0,28.5,30.6,29.5,196,196,196,196,196,8
1141,PERSPECTIVES - JOSLIN HS,400064.0,Charter,Overall,Overall,11th Grade,2015.0,18.3,17.3,18.5,20.7,18.7,59,59,59,59,59,33
1149,PERSPECTIVES - LEADERSHIP HS,400061.0,Charter,Overall,Overall,11th Grade,2015.0,16.0,16.2,16.0,16.1,16.1,88,88,88,88,88,71
1155,PERSPECTIVES - MATH & SCI HS,400066.0,Charter,Overall,Overall,11th Grade,2015.0,16.2,16.2,17.0,16.2,16.4,75,75,75,75,75,35
1163,PERSPECTIVES - TECH HS,400062.0,Charter,Overall,Overall,11th Grade,2015.0,15.7,16.1,16.8,16.1,16.2,103,103,103,103,103,71
1179,PHILLIPS HS,609727.0,AUSL,Overall,Overall,11th Grade,2015.0,15.4,15.7,15.5,14.4,15.2,131,131,131,131,131,35
1193,PHOENIX MILITARY HS,610304.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,19.3,18.8,19.0,20.5,19.4,107,107,107,107,107,28
1202,PROLOGUE - EARLY COLLEGE HS,400070.0,Options,Overall,Overall,11th Grade,2015.0,12.8,14.0,12.6,11.3,12.6,12,12,12,12,12,24
1208,PROLOGUE - JOHNSTON HS,400109.0,Options,Overall,Overall,11th Grade,2015.0,13.9,14.5,13.7,12.5,13.7,39,39,39,39,39,73
1211,PROLOGUE - WINNIE MANDELA HS,610574.0,Options,Overall,Overall,11th Grade,2015.0,14.6,14.4,14.1,12.6,13.9,14,14,14,14,14,43
1227,PROSSER HS,609679.0,Network 3,Overall,Overall,11th Grade,2015.0,18.3,17.8,18.5,17.5,18.0,389,389,389,389,389,19
1237,RABY HS,610334.0,Network 5,Overall,Overall,11th Grade,2015.0,14.2,15.1,14.6,12.6,14.1,114,114,114,114,114,27
1253,RICHARDS HS,609682.0,Network 8,Overall,Overall,11th Grade,2015.0,14.4,15.3,14.9,12.8,14.4,93,93,92,93,92,61
1262,RICKOVER MILITARY HS,610390.0,Service Leadership Academies,Overall,Overall,11th Grade,2015.0,19.1,17.7,18.9,18.7,18.6,141,141,141,141,141,77
1278,ROBESON HS,609707.0,Network 11,Overall,Overall,11th Grade,2015.0,13.6,14.7,14.0,13.2,13.9,78,78,78,78,78,68
1294,ROOSEVELT HS,609728.0,Network 1,Overall,Overall,11th Grade,2015.0,15.9,16.8,16.3,14.8,16.0,283,283,283,283,283,14
1310,SCHURZ HS,609729.0,Network 1,Overall,Overall,11th Grade,2015.0,16.5,17.1,16.9,15.9,16.6,490,490,490,490,490,16
1326,SENN HS,609730.0,Network 2,Overall,Overall,11th Grade,2015.0,19.6,19.1,19.8,20.1,19.7,284,284,284,284,284,77
1335,SHABAZZ - DUSABLE HS,400073.0,Charter,Overall,Overall,11th Grade,2015.0,14.8,15.2,14.3,12.2,14.1,51,51,51,51,51,38
1350,SIMEON HS,609692.0,Network 11,Overall,Overall,11th Grade,2015.0,16.7,15.9,16.8,16.3,16.4,328,328,328,328,328,44
1366,SIMPSON HS,609750.0,Network 6,Overall,Overall,11th Grade,2015.0,,,,,,2,2,2,2,2,28
1375,SOCIAL JUSTICE HS,610383.0,Network 7,Overall,Overall,11th Grade,2015.0,15.3,15.9,17.1,14.7,15.7,69,69,69,69,69,30
1379,SOLORIO HS,610543.0,AUSL,Overall,Overall,11th Grade,2015.0,17.5,19.2,18.2,17.5,18.1,235,235,235,235,235,63
1381,SOUTH CENTRAL THERAPEUTIC HS,800014.0,,Overall,Overall,11th Grade,2015.0,,,,,,4,4,4,4,4,0
1384,SOUTH SHORE INTL HS,610547.0,Network 12,Overall,Overall,11th Grade,2015.0,17.6,16.6,17.2,18.0,17.3,135,135,135,135,135,43
1394,SPRY HS,610357.0,Network 7,Overall,Overall,11th Grade,2015.0,16.9,17.7,16.4,16.6,16.9,47,47,47,47,47,30
1410,STEINMETZ HS,609732.0,Network 3,Overall,Overall,11th Grade,2015.0,16.6,17.1,17.5,15.6,16.7,358,358,358,358,358,19
1426,SULLIVAN HS,609733.0,Network 2,Overall,Overall,11th Grade,2015.0,15.5,16.1,15.3,14.5,15.3,139,139,139,139,139,1
1442,TAFT HS,609734.0,Network 1,Overall,Overall,11th Grade,2015.0,19.5,19.0,19.4,19.9,19.5,642,642,642,643,642,10
1449,TEAM HS,610506.0,Network 11,Overall,Overall,11th Grade,2015.0,14.5,15.8,14.7,13.3,14.6,64,64,64,64,64,68
1465,TILDEN HS,609735.0,Network 8,Overall,Overall,11th Grade,2015.0,14.5,15.0,14.6,13.2,14.3,71,71,71,71,71,61
1473,U OF C - WOODLAWN HS,400077.0,Charter,Overall,Overall,11th Grade,2015.0,17.5,17.8,17.7,17.6,17.7,97,97,97,97,97,42
1475,UCAN THERAPEUTIC HS,800016.0,,Overall,Overall,11th Grade,2015.0,,,,,,7,9,7,9,7,0
1481,UNO - GARCIA HS,400085.0,Charter,Overall,Overall,11th Grade,2015.0,17.0,18.3,18.7,17.9,18.0,155,155,155,155,155,57
1492,UPLIFT HS,610394.0,Network 2,Overall,Overall,11th Grade,2015.0,15.9,16.4,17.1,16.0,16.4,59,59,59,59,59,3
1496,URBAN PREP - BRONZEVILLE HS,400105.0,Charter,Overall,Overall,11th Grade,2015.0,16.7,17.6,17.1,16.6,17.0,110,110,110,110,110,35
1504,URBAN PREP - ENGLEWOOD HS,400086.0,Charter,Overall,Overall,11th Grade,2015.0,17.0,17.2,17.5,16.7,17.1,110,110,110,110,110,68
1509,URBAN PREP - WEST HS,400102.0,Charter,Overall,Overall,11th Grade,2015.0,16.5,16.4,16.9,16.7,16.6,63,63,63,61,61,28
1515,VOISE HS,610518.0,Network 3,Overall,Overall,11th Grade,2015.0,15.1,15.7,15.7,13.1,14.9,71,71,71,71,71,25
1531,VON STEUBEN HS,609737.0,Network 1,Overall,Overall,11th Grade,2015.0,20.4,20.6,20.6,21.2,20.7,410,410,410,410,410,13
1547,WASHINGTON HS,609739.0,Network 13,Overall,Overall,11th Grade,2015.0,17.1,16.8,17.6,16.9,17.1,373,373,373,373,373,52
1563,WELLS HS,609740.0,Network 6,Overall,Overall,11th Grade,2015.0,15.7,16.0,15.0,14.2,15.2,134,134,134,134,134,24
1574,WESTINGHOUSE HS,609693.0,Network 5,Overall,Overall,11th Grade,2015.0,20.0,20.7,20.7,20.9,20.6,280,280,280,280,280,23
1581,WILLIAMS HS,610380.0,Network 9,Overall,Overall,11th Grade,2015.0,17.6,16.8,17.8,18.3,17.6,71,71,71,71,71,38
1590,WORLD LANGUAGE HS,610392.0,Network 7,Overall,Overall,11th Grade,2015.0,17.0,16.6,17.5,19.3,17.6,91,91,91,91,91,30
1597,YCCS - ASPIRA PANTOJA,400125.0,Options,Overall,Overall,11th Grade,2015.0,15.1,15.0,14.4,12.5,14.2,60,60,60,60,60,21
1601,YCCS - ASSOCIATION HOUSE,400126.0,Options,Overall,Overall,11th Grade,2015.0,,,,,,3,3,3,3,3,23
1605,YCCS - AUSTIN CAREER,400127.0,Options,Overall,Overall,11th Grade,2015.0,14.1,14.8,14.1,12.9,14.1,16,16,15,16,15,25
1609,YCCS - CAMPOS,400131.0,Options,Overall,Overall,11th Grade,2015.0,15.3,15.6,15.1,13.3,14.8,19,19,19,19,19,24
1613,YCCS - CCA ACADEMY,400128.0,Options,Overall,Overall,11th Grade,2015.0,13.0,14.1,13.7,11.6,13.1,39,39,38,39,38,29
1617,YCCS - CHATHAM,400150.0,Options,Overall,Overall,11th Grade,2015.0,13.3,14.4,12.6,10.7,12.8,30,30,30,30,30,44
1621,YCCS - HOUSTON,400129.0,Options,Overall,Overall,11th Grade,2015.0,13.4,14.6,13.3,12.1,13.4,16,16,15,16,15,38
1625,YCCS - INNOVATIONS,400133.0,Options,Overall,Overall,11th Grade,2015.0,15.0,15.2,14.0,14.2,14.6,38,38,38,38,38,37
1629,YCCS - LATINO YOUTH,400135.0,Options,Overall,Overall,11th Grade,2015.0,14.8,14.8,14.1,12.2,14.0,80,80,80,80,80,30
1633,YCCS - MCKINLEY,400124.0,Options,Overall,Overall,11th Grade,2015.0,13.9,14.3,13.7,11.0,13.2,50,50,50,50,50,35
1640,YCCS - SCHOLASTIC ACHIEVEMENT,400123.0,Options,Overall,Overall,11th Grade,2015.0,14.9,14.6,14.0,12.1,13.9,56,56,56,56,56,25
1647,YCCS - TRUMAN,400141.0,Options,Overall,Overall,11th Grade,2015.0,17.6,16.6,16.2,14.9,16.3,54,54,54,54,54,3
1651,YCCS - VIRTUAL,400142.0,Options,Overall,Overall,11th Grade,2015.0,15.4,15.1,16.0,13.5,15.0,14,14,14,14,14,28
1654,YCCS - WEST TOWN,400143.0,Options,Overall,Overall,11th Grade,2015.0,14.3,15.1,15.1,13.2,14.4,69,69,69,69,69,23
1658,YCCS - WESTSIDE HOLISTIC,400144.0,Options,Overall,Overall,11th Grade,2015.0,14.3,15.5,14.5,12.4,14.2,32,32,32,32,32,25
1662,YCCS - YOUTH CONNECTION,400145.0,Options,Overall,Overall,11th Grade,2015.0,14.3,14.5,14.0,11.8,13.6,34,34,34,34,34,35
1666,YCCS - YOUTH DEVELOPMENT,400130.0,Options,Overall,Overall,11th Grade,2015.0,14.3,14.9,13.9,12.3,13.8,28,28,28,28,28,71
1682,YOUNG HS,609755.0,ISP,Overall,Overall,11th Grade,2015.0,27.7,27.3,26.2,27.9,27.3,489,489,489,489,489,28
1696,YOUNG WOMENS HS,400087.0,Charter,Overall,Overall,11th Grade,2015.0,17.0,16.6,15.9,15.6,16.3,52,52,52,52,52,35
1734,ACE TECH HS,400010.0,Charter,Race,Hispanic,11th Grade,2015.0,15.3,16.4,17.0,14.5,15.8,15,15,15,15,15,40
1735,ACE TECH HS,400010.0,Charter,Race,Black,11th Grade,2015.0,14.2,15.7,14.8,13.4,14.5,98,98,98,98,98,40
1736,ACE TECH HS,400010.0,Charter,Race,White,11th Grade,2015.0,,,,,,2,2,2,2,2,40
1737,ACE TECH HS,400010.0,Charter,Race,Native American,11th Grade,2015.0,,,,,,2,2,2,2,2,40
1756,AIR FORCE HS,610513.0,Service Leadership Academies,Race,White,11th Grade,2015.0,20.2,17.9,20.2,20.9,19.8,12,12,12,12,12,34
1757,AIR FORCE HS,610513.0,Service Leadership Academies,Race,Hispanic,11th Grade,2015.0,18.9,18.4,19.7,19.8,19.2,37,37,37,37,37,34
1758,AIR FORCE HS,610513.0,Service Leadership Academies,Race,Asian / Pacific,11th Grade,2015.0,,,,,,3,3,3,3,3,34
1759,AIR FORCE HS,610513.0,Service Leadership Academies,Race,Black,11th Grade,2015.0,17.3,17.1,18.5,18.2,17.8,34,34,34,34,34,34
1780,ALCOTT HS,610524.0,Network 4,Race,Hispanic,11th Grade,2015.0,16.4,17.2,17.8,15.5,16.7,34,34,34,34,34,5
1781,ALCOTT HS,610524.0,Network 4,Race,White,11th Grade,2015.0,,,,,,4,4,4,4,4,5
